3185
3633
33303
30077
2552
0901
0902
0903
10a
10b
30225
3497
10314
15444
3001
3002
3003
3004
3005
3062a
15571
22886
3622
3010
3009
3008
2357
2458
30151
30165
3298
3038
6215
4730
3037
4744
3041
10314
12939
13965
18897
2577
3062a
15672
30182
30363
3037
15444
15533
2458
73090a
98283
15207
14718
2362a
23969
2571
2345
15627
11212
11213
14181
15397
15573
3024
3023
3623
3710
3666
2420
24307
3022
3021
3020
14181
2450
30504
18980
11213
3961
3960
11458
1745
14719
2431
3068a
3069a
3070a
25269
14769
98139
15209
12825
2412a
27263
2432
3160
20309
2377
2493a
264
3189
4181
