10,30,16
10,50,16
10,70,8
10,90,8
10,110,8
10,130,8
10,150,16
10,170,16
30,30,16
30,50,16
30,70,16
30,90,16
30,110,16
30,130,16
30,150,16
30,170,16
50,30,16
50,50,16
50,150,16
50,170,16
70,30,16
70,50,16
70,150,16
70,170,16
90,30,16
90,50,16
90,150,16
90,170,16
110,30,16
110,50,16
110,70,16
110,90,16
110,110,16
110,130,16
110,150,16
110,170,16
130,10,16
130,30,16
130,50,16
130,150,16
130,170,8
150,10,16
150,30,16
150,50,16
150,90,16
150,110,16
150,150,16
150,170,8
170,10,16
170,30,16
170,50,16
170,90,16
170,110,16
170,150,16
170,170,8
190,10,16
190,30,16
190,50,16
190,150,16
190,170,8
210,30,16
210,50,16
210,70,16
210,90,16
210,110,16
210,130,16
210,150,16
210,170,16
230,30,16
230,50,16
230,150,16
230,170,16
250,30,16
250,50,16
250,150,16
250,170,16
270,30,16
270,50,16
270,150,16
270,170,16
290,30,16
290,50,16
290,70,16
290,90,16
290,110,16
290,130,16
290,150,16
290,170,16
310,30,16
310,50,16
310,70,8
310,90,8
310,110,8
310,130,8
310,150,16
310,170,16
