10,10,24
10,30,24
10,50,24
10,70,24
30,10,24
30,30,24
30,50,24
30,70,24
50,10,24
50,30,24
50,50,24
50,70,24
70,10,24
70,30,24
70,50,24
70,70,24
90,10,24
90,30,24
90,50,24
90,70,24
110,10,24
110,30,24
110,50,24
110,70,24
130,10,24
130,30,24
130,50,24
130,70,24
150,10,24
150,30,24
150,50,24
150,70,24
170,10,24
170,30,24
170,50,24
170,70,24
190,10,24
190,30,24
190,50,24
190,70,24
210,10,24
210,30,24
210,50,24
210,70,24
230,10,24
230,30,24
230,50,24
230,70,24
250,10,24
250,30,24
250,50,24
250,70,24
270,10,24
270,30,24
270,50,24
270,70,24
290,10,24
290,30,24
290,50,24
290,70,24
310,10,24
310,30,24
310,50,24
310,70,24
330,10,24
330,30,24
330,50,24
330,70,24
350,10,24
350,30,24
350,50,24
350,70,24
