part_num,name,part_cat_id,part_material
2529,Window 1 x 2 x 3 Pane Latticed,Windows and Doors,Plastic
2539,Plate Special 6 x 6 Octagonal with Square Hole and 4 Clips (Boat Mast Platform),Plates Special,Plastic
2540,Plate Special 1 x 2 Side Handle [Free Ends],Plates Special,Plastic
2549,Rope Bridge,"Bars, Ladders and Fences",Plastic
2552,Baseplate Raised 32 x 32 with Ramp and Pit [Plain],Baseplates,Plastic
2554,Door 1 x 3 x 6 Curved Top,Windows and Doors,Plastic
2555,Tile Special 1 x 1 with Clip and Straight Tips,Tiles Special,Plastic
2569,Antenna Whip 8H,"Bars, Ladders and Fences",Plastic
2571,Panel 3 x 4 x 6 Curved Top,Panels,Plastic
2572,Panel 6 x 6 x 9 Curved Top,Panels,Plastic
2573,Wheel Hard Plastic Giant (71mm D. x 47mm),Wheels and Tyres,Plastic
2577,Brick Round Corner 4 x 4 Full Brick,Bricks Round and Cones,Plastic
2583,Fence / Bar 1 x 8 x 3,"Bars, Ladders and Fences",Plastic
25893,Plate Round 1 x 1 with Hollow Stud and Bar on Underside,Plates Special,Plastic
2593,Wheel Hard Plastic Medium (35mm D. x 31mm),Wheels and Tyres,Plastic
2596,Door 1 x 9 x 11 with Clips,Windows and Doors,Plastic
26047,Plate Special 1 x 1 Rounded with Handle,Plates Special,Plastic
2605c01,Brick Special 1 x 2 x 2 1/3 with Spring Unit,Bricks Special,Plastic
2617,Baseplate Raised 16 x 16 x 2 1/3 Platform,Baseplates,Plastic
2621,Boat Bow Plate 9 x 10,Plates Angled,Plastic
2625,Boat Bow Plate 7 x 6 without Stud Notches,Plates Angled,Plastic
2639,Plate 4 x 4 Corner,Plates,Plastic
264,Window 1 x 4 x 5 Curved Top,Windows and Doors,Plastic
2642,Baseplate Raised 16 x 16 x 2 1/3 Ramp,Baseplates,Plastic
2653,Brick Special 1 x 4 with Groove,Bricks Special,Plastic
2654,Plate Round 2 x 2 with Rounded Bottom [Boat Stud],Plates Round Curved and Dishes,Plastic
26597,Brick Special 1 x 2 with Vertical Closed Handle Inset from Edge,Bricks Special,Plastic
26599,Plate Special 2 x 4 Pin Holes on Bottom Dia. 4.85,Plates Special,Plastic
26601,Wedge Plate 2 x 2 Cut Corner,Plates Angled,Plastic
26603,Tile 2 x 3,Tiles,Plastic
26604,Brick Special 1 x 1 with Studs on 2 Adjacent Sides,Bricks Special,Plastic
2695,Wheel 30 x 13 Model Team,Wheels and Tyres,Plastic
2696,Tyre 24 x 13 Model Team,Wheels and Tyres,Plastic
27,Window 1 x 2 x 1,Windows and Doors,Plastic
2714a,"Bar 8L - Two Stop Rings / One  Pin, Technic Figure Ski Pole [Rounded End]","Bars, Ladders and Fences",Plastic
2714b,"Bar 8L - Two Stop Rings / One Pin, Technic Figure Ski Pole [Flat End]","Bars, Ladders and Fences",Plastic
27167,"Plate Special, 2 x 2 Studs and Bar (Mech Chest Plate / Armor)",Plates Special,Plastic
27168,"Cockpit 4 x 2 x 3 with Pin Hole, 3 Towballs and 2 Clips",Plates Special,Plastic
272,Cone 4 x 4 x 3 with Single Solid Stud,Bricks Round and Cones,Plastic
27254,Wheel Hard Plastic with Large Cleats and Flanges (Rock Design),Wheels and Tyres,Plastic
27255,Plate Special 6 x 6 Hexagonal with Pin Hole,Plates Special,Plastic
27259,"Plate, Modified 1 x 2 with Large Axe Head",Plates Special,Plastic
27261,Plate Special 2 x 3 with Rocks,Plates Special,Plastic
27263,Tile Special 2 x 2 Corner with Cut Corner - Facet,Tiles Special,Plastic
27266,Brick Round 2 x 2 Special with Spikes,Bricks Round and Cones,Plastic
27507,"Tile 4 x 4 Curved, Macaroni",Tiles Round and Curved,Plastic
27925,"Tile 2 x 2 Curved, Macaroni",Tiles Round and Curved,Plastic
27928,"Plate Special 2 x 2 Wedge, Center Stud, 1 x 1/2 Raised Tab",Plates Special,Plastic
27976,Slide Straight 4 x 6 x 6,Bricks Special,Plastic
27ac01,"Window 1 x 2 x 1 (old type) with Extended Lip and Solid Studs, with Fixed Glass",Windows and Doors,Plastic
27b,Window 1 x 2 x 1 (old type) with Extended Lip,Windows and Doors,Plastic
27bc01,"Window 1 x 2 x 1 (old type) with Extended Lip, with Glass",Windows and Doors,Plastic
27c,Window 1 x 2 x 1 Classic with Short Sill No Glass,Windows and Doors,Plastic
2807,Tyre for Bicycle Wheel,Wheels and Tyres,Rubber
2815,Technic Wedge Belt Wheel Tire,Wheels and Tyres,Plastic
2817,Plate Special 2 x 2 with 2 Pin Holes,Plates Special,Plastic
28192,Slope 45° 2 x 1 with 2/3 Inverted Cutout and no stud,Bricks Sloped,Plastic
2832,"Brick Special 2 x 8 x 5/6 with No Top Studs, and Channel on Ends, and Stud Holes on Sides",Bricks Special,Plastic
28327,Door Frame 4 x 4 x 6 Corner,Windows and Doors,Plastic
2833,Brick Special 1 x 8 x 5/6 with No Top Studs and Channel on Ends,Bricks Special,Plastic
28387,Slide Curved Left 90°,Bricks Special,Plastic
28466,"Stairs, Left 6 x 6 x 4","Bars, Ladders and Fences",Plastic
2857,Tyre 30 x 20 Solid Balloon,Wheels and Tyres,Rubber
28598,Cone 2 x 2 x 3 Jagged,Bricks Round and Cones,Plastic
2874,Door Sliding - Type 2,Windows and Doors,Plastic
2875,Slope 45° 2 x 6 x 2/3,Bricks Sloped,Plastic
2877,Brick Special 1 x 2 with Grill,Bricks Special,Plastic
2879,Train Wheel,Wheels and Tyres,Plastic
28802,"Bracket 1 x 2 - 1 x 4 [Rounded Corners at Bottom, Square Corners at Top]",Plates Special,Plastic
28870,Curled Decorative Ornament with Bar,"Bars, Ladders and Fences",Plastic
29,Window 1 x 1 x 2,Windows and Doors,Plastic
2902,Tyre 81.6 x 15 Motorcycle,Wheels and Tyres,Rubber
2903,Wheel 61.6 x 13.6 Motorcycle,Wheels and Tyres,Plastic
2903c01,"Wheel 81.6 x 15 Motorcycle, with Black Tire 81.6 x 15 Motorcycle (2903 / 2902)",Wheels and Tyres,Plastic
29096,Cone Half 10 x 5 x 6 [Plain],Bricks Round and Cones,Plastic
29117a,Wheel Cover 5 Spoke Wide - for Wheel 18976,Wheels and Tyres,Plastic
29117b,Wheel Cover 5 Spoke Framed - for Wheel 18976,Wheels and Tyres,Plastic
29119,Slope Curved 2 x 1 with Stud Notch Right,Bricks Curved,Plastic
29120,Slope Curved 2 x 1 with Stud Notch Left,Bricks Curved,Plastic
2921,Brick Special 1 x 1 with Handle,Bricks Special,Plastic
2926,Plate Special 1 x 4 with Wheels Holder,Plates Special,Plastic
2927,Train Wheel Small,Wheels and Tyres,Plastic
2937,Slope 55° 1 x 6 x 5 with Bottom Stud Holders,Bricks Sloped,Plastic
298c01,Lever Small Base with Yellow Lever,"Bars, Ladders and Fences",Plastic
2994,Wheel Rim 24 x 14 VR with Center Axle Hole,Wheels and Tyres,Plastic
2995,Tyre 68.8 x 40 Balloon Large,Wheels and Tyres,Rubber
2996,Wheel 68.8 x 40 Balloon Large,Wheels and Tyres,Plastic
2997,Tyre 81.6 x 34 ZR Technic Straight Tread,Wheels and Tyres,Rubber
2998,Wheel 81.6 x 34 Six Spoke,Wheels and Tyres,Plastic
29a,"Window 1 x 1 x 2 (old type) with Extended Lip and Solid Stud, no Glass",Windows and Doors,Plastic
29ac01,"Window 1 x 1 x 2 (old type) with Extended Lip and Solid Stud, with Fixed Glass",Windows and Doors,Plastic
29b,"Window 1 x 1 x 2 (old type) with Extended Lip, no Glass",Windows and Doors,Plastic
29bc01,"Window 1 x 1 x 2 (old type) with Extended Lip, with Glass",Windows and Doors,Plastic
29c01,Window 1 x 1 x 2 with Glass,Windows and Doors,Plastic
30000,Brick Special 2 x 2 with 2 Pins and Axle Hole,Bricks Special,Plastic
3001,Brick 2 x 4,Bricks,Plastic
3002,Brick 2 x 3,Bricks,Plastic
30027a,Wheel 8 x 9 with Round Hole for Wheel Holder Pin,Wheels and Tyres,Plastic
30027b,Wheel 8 x 9 with Hole Notched for Wheels Holder Pin,Wheels and Tyres,Plastic
30028,Tyre 14 x 9 Smooth Small Wide Slick,Wheels and Tyres,Rubber
3003,Brick 2 x 2,Bricks,Plastic
30033,Plate Special 2 x 2 with Bar Frame Octagonal,Plates Special,Plastic
30034,Panel 3 x 5 Solar/Clip-On/Deltoid,Panels,Plastic
30036,Wedge Plate 8 x 6 x 2/3 with Grille,Plates Special,Plastic
30037,Wing Plate Bi-level 12 x 9 (Exploriens),Plates Angled,Plastic
3004,Brick 1 x 2,Bricks,Plastic
30043,Plate Special 1 x 4 with Arm Down,Plates Special,Plastic
